ts_code,name,industry,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio,reversal_candidate_score
603316.SH,诚邦股份,建筑工程,-2.5046,0.007670182166826578,-0.18400621118012428,-0.15139281388776749,4.0,1,-3.6221916552040323,7.235621521335801,1088108.432,-0.0034969584722416673,50.025549206499285
603127.SH,昭衍新药,医疗保健,-4.5778,-0.0890336590662324,-0.18026380068392756,-0.13683127572016462,5.0,7,-3.201615229304877,7.3357975547341425,958734.39,-0.00458445013117762,49.38481728045778
300236.SZ,上海新阳,半导体,-1.5025,-0.08291636883488207,-0.1810887207075773,-0.14936541011555216,4.0,2,-1.5025224830006678,4.332090370695331,1096573.16234,-0.01118535490493517,49.322831826798215
300903.SZ,科翔股份,元器件,-5.5753,-0.10441334768568344,-0.1967173545739802,-0.11324273914201977,4.0,2,-7.747747747747747,9.51908072066959,1853732.34428,-0.011610780847846587,49.245321392982326
301316.SZ,慧博云通,软件服务,-2.3089,-0.0920833333333334,-0.14999024770821157,-0.2122198120028923,4.0,2,0.5537609598523119,7.285362026451468,815848.63141,-0.006420553762463278,49.150621112081154
300751.SZ,迈为股份,专用机械,-2.8759,-0.10076024476172818,-0.18693625725111496,-0.11742010628230337,5.0,5,-1.430894308943098,7.710486261315388,2384069.63769,0.00799101238437785,49.058116832553715
000997.SZ,新大陆,IT设备,0.2418,-0.11448099102947462,-0.19463869463869454,-0.10800344234079162,4.0,0,0.6310679611650327,2.9013539651837594,541097.44548,9.486276534620097e-05,48.917177720574564
002409.SZ,雅克科技,半导体,-2.2075,-0.11333502237986659,-0.18072571205618426,-0.12914731254147316,5.0,5,-2.7870370370370434,5.784277198211619,2306379.65037,-0.0028319405259026507,48.85674929237922
688147.SH,微导纳米,专用机械,-2.9851,-0.027431421446384108,-0.14754098360655743,-0.21773142112125154,4.0,1,-3.715590667818791,10.19900497512438,1109152.574,0.000691780389809563,48.777274299660085
688375.SH,国博电子,元器件,-1.2198,-0.09658291457286428,-0.1519811320754717,-0.19272563987427027,5.0,6,-1.1111111111111183,3.824175824175829,544462.089,-0.0017697834605340142,48.77111539660546
300842.SZ,帝科股份,电气设备,-4.0793,-0.13604870879697673,-0.1823961851778263,-0.1389412010880937,4.0,2,-5.964351005484458,7.564102564102558,631491.64204,-0.008718389339587263,48.72917264037706
000815.SZ,美利云,通信设备,0.9334,-0.018159806295399594,-0.1591498185588388,-0.1934361014420687,3.0,0,1.311680199875065,3.920348475420042,608989.7284,0.002164453583581982,48.6443605030362
688035.SH,XD德邦科,半导体,-0.4095,-0.08383961117861471,-0.170699516058073,-0.16175653140633683,4.0,2,-0.39630118890355837,5.296526218465203,571141.203,-0.001819444989333046,48.46279651298141
002536.SZ,飞龙股份,汽车配件,0.0776,-0.0556640625,-0.15490495958051131,-0.2110952478074648,3.0,0,-0.7950756604257592,8.357050452781383,1545062.05747,0.0054535997174104435,48.38141974852404
002759.SZ,天际股份,电气设备,1.5771,-0.0625206748263315,-0.13359828798532558,-0.22398685651697703,4.0,0,2.1997836278398797,6.129032258064507,1026076.88354,-0.002098302802195491,48.30229229260029
688372.SH,伟测科技,半导体,-2.5,-0.10790419161676656,-0.17917355371900834,-0.1371981235883477,4.0,2,-2.7926399582408945,5.876963350785333,1155213.819,-0.006285243372768199,48.01451906974378
600418.SH,江淮汽车,汽车整车,-1.1885,-0.06445012787723792,-0.14332552693208445,-0.19973747538831765,5.0,9,-0.29980921231943514,5.132360886007559,1599695.849,0.0009913259454860301,47.779575530731584
603179.SH,新泉股份,汽车配件,-3.0332,-0.10712391727063819,-0.17816465994142539,-0.1197281282676892,5.0,5,-2.8467012887093746,5.14494144749472,1198172.283,-2.0998649657463186e-05,47.6478470535724
688385.SH,复旦微电,半导体,-1.556,-0.13296398891966765,-0.1610946536888137,-0.1729940203031567,4.0,3,-2.235738944599708,8.607846383049157,1536173.606,0.002427446992602475,47.6414141822242
600699.SH,均胜电子,汽车配件,-0.1907,-0.13401720714758425,-0.18877867327960307,-0.09100382077110103,5.0,5,-0.79605761940863,3.623188405797099,1005614.422,-0.003055256500686897,47.25435633901526
002396.SZ,星网锐捷,通信设备,-4.0106,-0.07515923566878979,-0.08870292887029274,-0.3443708609271523,3.0,2,-3.670942061034932,6.346408109299256,744044.96213,0.0019131505116639553,47.120022371848215
300077.SZ,国民技术,半导体,-1.3931,-0.09291149379255104,-0.14431431809595774,-0.18846291651737734,5.0,5,-4.025423728813571,7.226817588158468,935073.77611,-0.0005812803373239488,47.05244801798793
688120.SH,华海清科,半导体,-6.3493,-0.13220795801120655,-0.17050847457627127,-0.17885906040268462,5.0,5,-6.2452107279693525,6.96544069807493,2882488.418,-0.002661606531388325,46.994927042880825
300007.SZ,汉威科技,电器仪表,-1.0469,-0.12478956228956228,-0.16736736736736735,-0.1508779093507553,4.0,4,-0.407088122605348,3.1881989055436675,535930.82477,-0.00659937782365448,46.98316011853923
688726.SH,拉普拉斯,专用机械,-2.3031,-0.0861713923649613,-0.16087272727272728,-0.14936596874078434,5.0,6,-2.3031329381879795,7.0448772226926275,739343.592,0.0023810445090054954,46.911130497371666
688170.SH,德龙激光,专用机械,-8.4901,-0.2127205303966737,-0.22388390384402346,-0.08776041666666656,3.0,2,-6.336898395721924,9.96603970741903,700848.494,-0.008751905800627994,46.9024322136563
002654.SZ,万润科技,互联网,-1.0451,-0.07734470158343487,-0.1382252559726962,-0.21421161825726143,4.0,2,-1.1096605744125299,4.572175048987585,780310.8188,-0.002078402555656068,46.81331873055491
688802.SH,沐曦股份-U,半导体,-5.6833,-0.08258992805755394,-0.15448879458957698,-0.17729032258064514,4.0,2,-6.372980910425841,8.285257832608501,1223180.264,-0.00025207241244369676,46.790704687750576
300846.SZ,首都在线,软件服务,0.6584,-0.02316293929712454,-0.14205541915117503,-0.21173058330647765,3.0,0,0.6584362139917754,4.40329218106996,724278.6279,0.014411649878810382,46.59815076128159
002979.SZ,雷赛智能,专用机械,-5.0073,-0.08092280390417039,-0.15237315875613755,-0.179889152810768,4.0,2,-4.039281082082635,5.39251650770359,706557.01245,-0.010241084402954733,46.59781863216028
300303.SZ,聚飞光电,半导体,-2.6316,-0.08494623655913991,-0.14814814814814814,-0.1737864077669904,5.0,5,-1.2761020881670415,4.233409610983973,558623.89685,-0.008578741487829335,46.55242180505024
600577.SH,精达股份,电气设备,-3.2308,-0.11408450704225348,-0.1607738492328219,-0.14421768707482985,5.0,5,-2.329192546583858,4.230769230769223,861917.551,-0.0048928461836136765,46.466922135527106
002518.SZ,科士达,电气设备,-4.3102,-0.07232142857142854,-0.13847429519071297,-0.1931977015064451,5.0,6,-4.327808471454874,6.9073494197826495,944335.73499,-0.006145144978614459,46.36889896488672
300263.SZ,隆华科技,专用机械,-2.5855,-0.07154213036565982,-0.16091954022988508,-0.15484804630969617,4.0,2,-2.259414225941414,4.837364470391994,574823.92717,-0.001113784534252092,46.15113337708651
688449.SH,联芸科技,半导体,-6.6183,-0.09355003839262865,-0.16177514792899406,-0.20056433408577878,4.0,2,-6.173003046761161,8.292682926829277,1095642.788,-0.007771273715535099,45.94913080665016
688795.SH,摩尔线程-U,半导体,-6.6827,-0.10974777448071216,-0.1740812112869925,-0.17181267339305184,4.0,2,-7.30693772882457,9.646967340590976,1979553.354,-0.0026544876850033085,45.874322927732784
688135.SH,利扬芯片,半导体,-0.9091,-0.06328124999999996,-0.13885563801771617,-0.1999555160142349,4.0,2,-1.1541632316570571,5.840220385674944,552800.323,-0.0037289232915299775,45.782998277744646
688556.SH,高测股份,专用机械,-4.6102,-0.10039525691699602,-0.14371708051166276,-0.1883024251069899,4.0,2,-4.369747899159659,6.45431684828164,515892.23,-0.004490298293502104,45.72428790407149
688818.SH,电科蓝天,航空,-5.3289,-0.12822569862281052,-0.15533100142505496,-0.17520556609740667,3.0,2,-5.507246376811592,5.590242485842884,855129.108,-0.006133635203071568,45.56375827389629
000062.SZ,深圳华强,元器件,4.5642,-0.04542606516290737,-0.1578220011055832,-0.11450159837256602,4.0,0,4.420836189170663,8.647906657515442,1384358.17347,0.009446688184185736,45.48156677759809
002050.SZ,三花智控,家用电器,-3.8196,-0.12642101136809103,-0.1732517158226673,-0.1182987141444114,4.0,4,-3.819594302977991,5.308588692274494,6433059.08656,-0.00827327081624242,45.432659438000535
688127.SH,蓝特光学,元器件,-3.5714,-0.09959713518352742,-0.14386039582889987,-0.18422386697759308,4.0,2,-4.7359696897939845,5.476989453499512,949320.017,-0.0030308430755442467,45.426718921258335
300113.SZ,顺网科技,互联网,0.5497,-0.024010671409515294,-0.1541425818882466,-0.16919000757002278,3.0,0,0.7342817806333279,3.6646816307833134,557356.03219,0.004245813920236336,45.403354219770016
