ts_code,name,industry,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,ret_0601,gap_0601,intraday_0601,amp_0601,amount_0601,rebound_score
600152.SH,维科技术,电气设备,-3.1436,-0.08064516129032262,-0.1291061879297173,-0.09451945988880062,4.0,3,10.0,4.210526315789487,5.555555555555536,8.07017543859649,547378.218,32.27052032934384
600737.SH,中粮糖业,食品,1.4151,-0.03515332834704554,-0.10104529616724733,-0.17624521072796928,4.0,0,10.0,1.9379844961240345,7.9087452471482855,8.759689922480613,899820.021,30.079808163643825
600160.SH,巨化股份,化工原料,-4.4837,-0.07662192393736,-0.0786830357142857,0.017252002464571925,4.0,3,9.9939,4.784978800726836,4.971098265895946,5.20896426408237,2980028.852,25.922633418662258
002229.SZ,鸿博股份,广告包装,-4.9671,-0.06537356321839083,-0.15022860875244937,-0.22095808383233528,4.0,1,9.9923,1.9215987701767911,7.918552036199111,8.07071483474251,637124.60735,35.980549068393486
603778.SH,国晟科技,电气设备,-2.2222,-0.13591731266149887,-0.3001255755546254,-0.29688814129520613,5.0,5,9.988,-1.2559808612439993,11.387038158691688,11.244019138755975,1126542.855,57.198988145900884
000533.SZ,顺钠股份,电气设备,-4.0732,-0.02533783783783794,-0.06331168831168843,-0.1576642335766424,4.0,1,9.9653,3.8994800693241016,5.838198498748959,7.712305025996525,652458.03579,24.488741846777092
002328.SZ,新朋股份,汽车配件,-1.3444,-0.044088176352705566,-0.06009852216748779,-0.06926829268292689,3.0,1,9.9581,6.708595387840677,3.045186640471509,5.974842767295601,896276.69898,21.200895980334288
300454.SZ,深信服,软件服务,-1.2375,-0.0530417072522803,-0.07643147076604206,-0.13903872474035905,4.0,4,9.2575,2.6743968580512423,6.411657559198547,15.036469048064333,3284914.09355,25.783605271524323
300638.SZ,广和通,通信设备,-6.4417,-0.09264768380790478,-0.0899403239556692,-0.15210484511517075,4.0,3,9.0398,-0.09367681498830827,9.142053445850928,12.88056206088993,788525.33592,28.595705597605768
300668.SZ,杰恩股份,装修装饰,-6.8855,-0.060631793478260865,-0.09991863303498782,-0.09830453211607437,4.0,1,8.371,-0.9943952269029221,9.459459459459453,15.729524498282412,509239.454,29.416765693928266
688079.SH,美迪凯,元器件,-7.2105,-0.16164495114006516,-0.10865800865800868,0.11057173678532917,3.0,3,8.305,0.04856726566295766,8.252427184466015,17.92132102962604,724767.76,28.309174631194047
300568.SZ,星源材质,化工原料,-6.2796,-0.09703196347031962,-0.13219967087218876,-0.05721096543504178,4.0,3,7.6485,0.568900126422256,7.039597737272163,9.165613147914039,2045332.00913,31.50255937329873
300785.SZ,值得买,互联网,0.936,-0.007233669443226565,-0.08356940509915023,-0.18747757445281665,3.0,0,7.463,-0.06623978803268482,7.534246575342474,10.333406933097814,700258.69955,24.265851899569263
300057.SZ,万顺新材,铝,-4.635,-0.05510907003444321,-0.0855555555555555,-0.09361233480176212,4.0,1,7.4119,0.6075334143377686,6.763285024154597,14.45929526123936,988261.46534,25.577829178743958
688615.SH,合合信息,软件服务,-1.9185,-0.05591667897769237,-0.09719573355936983,-0.14713732817296155,5.0,5,6.893,-0.23472341757295734,7.144537683318952,12.08043189108832,1519669.12,28.250156868783858
603757.SH,大元泵业,机械基件,-6.0377,-0.012439156300703025,-0.15774907749077494,-0.13949104618284636,4.0,1,6.8821,-0.47462577583059495,7.391782831988247,13.983205549470604,1217568.772,34.13146071488712
300972.SZ,万辰集团,食品,0.9389,-0.10232213438735183,-0.1327446300715991,-0.18157657657657655,4.0,0,6.434,0.5228686223787804,5.880420499342964,9.400627442346845,769886.1314,30.016765858263376
603327.SH,福蓉科技,元器件,-2.9552,-0.04502814258911825,-0.06175115207373272,-0.07454545454545458,3.0,1,6.3851,3.8310412573673958,2.4597918637653704,4.61689587426325,527689.201,18.24811418073061
603435.SH,嘉德利,元器件,10.0014,-0.06598513011152407,-0.37030075187969924,,4.0,0,6.1692,0.0,6.169154228855711,14.029850746268657,1483290.511,53.45602733999177
688005.SH,容百科技,电气设备,-4.1138,-0.05574169966494058,-0.11200229160698927,-0.0954187335862271,5.0,5,6.0645,2.516129032258063,3.4612964128382773,7.741935483870975,1087478.943,27.52252319925785
002913.SZ,奥士康,元器件,-4.0895,-0.09059294035819854,-0.06707099536211214,-0.018945788782592454,3.0,3,6.0229,3.116634799235185,2.81846838494344,8.661567877629066,838547.05692,18.77607363592518
600500.SH,中化国际,塑料,-1.8248,-0.06920415224913501,-0.14738510301109342,-0.12234910277324629,3.0,1,5.948,-0.3717472118959009,6.343283582089554,11.152416356877334,590050.086,30.116254152375987
603859.SH,能科科技,软件服务,-8.6737,-0.09919861381849682,-0.09763506183553916,-0.08189845474613677,3.0,1,5.5542,0.9858138975715303,4.52380952380953,6.708343351767248,508028.437,22.921472182169467
688227.SH,品高股份,软件服务,-4.6135,-0.10295497185741087,-0.15047196002220986,-0.22789664917238595,5.0,5,5.3725,0.7973856209150254,4.538970302165746,11.699346405228763,604474.171,32.124120353748054
688169.SH,石头科技,家用电器,-8.4464,-0.1591635916359163,-0.19145245229459062,-0.19765258215962433,5.0,6,5.3052,1.1215135556855715,4.137332433214391,5.8806319485079,1024188.557,36.78712049195807
300850.SZ,新强联,机械基件,0.1866,-0.031850961538461564,-0.0906011854360711,-0.12469437652811743,4.0,0,5.2142,1.1173184357541777,4.05156537753224,5.834885164494089,716341.45395,23.06928494109465
300031.SZ,宝通科技,互联网,-4.7794,-0.08838482596793118,-0.09228971962616828,-0.12663919070813046,4.0,3,5.148,0.0858000858000807,5.057865409344209,7.078507078507087,605606.78061,23.722099059812297
