tag,direction,n,k,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,top10_abs_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days
lstm_ic_large,inverse,10,10,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.31538720170125856,-0.8572889362746691,-0.10532467582607163,15
lstm_ic_large,inverse,30,5,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.31259214964345294,-0.8945603786564678,-0.07050030320316603,15
lstm_ic_h384_l3_w20,inverse,10,5,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.40987275462793105,-1.013778512327118,-0.08598697804551825,15
lstm_ic_final_h384_l2_w20,inverse,20,10,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.3057095009440962,-1.0165631657767533,-0.08660760974591541,15
lstm_ic_h384_l2_w20,inverse,5,3,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.5216004244215886,-1.1299709371471969,-0.09877328524367623,15
lstm_ic_h256_l3_w40,inverse,30,2,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.3650872365945249,-1.2169052716374331,-0.06678266844442848,15
lstm_ic_h256_l3_w40,inverse,30,1,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.39183434162944275,-1.2651673526684828,-0.06521686903975032,15
lstm_ic_h384_l2_w20,inverse,20,1,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.4444342364989837,-1.3184613060883823,-0.07710460447526168,15
lstm_ic_large,inverse,20,5,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.4396869099059575,-1.4933227819348298,-0.0896618345067337,15
lstm_ic_large,inverse,30,1,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.4235226273055869,-1.5303728161632149,-0.07345341222783153,15
lstm_ic_large,inverse,3,1,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.8166422823692655,-1.6717775258161487,-0.21847664384646648,15
lstm_ic_h384_l2_w20,inverse,20,2,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.4845139461184941,-1.6905110578531268,-0.08925525621878594,15
lstm_ic_h384_l2_w20,inverse,5,1,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.7240981528060744,-1.7436412420179543,-0.15668182587988622,15
lstm_ic_h384_l3_w20,inverse,10,1,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.5772569442532526,-1.7971551412275915,-0.11181348820108061,15
lstm_ic_h384_l3_w20,inverse,10,2,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.5892500643736813,-1.7989845614243127,-0.10567798553094321,15
lstm_ic_final_h384_l2_w20,inverse,15,3,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.5536114145732461,-1.8076327339228728,-0.09346186663522449,15
lstm_ic_h384_l2_w20,inverse,30,3,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.4770353057718897,-1.8123187420867553,-0.08912002696751065,15
lstm_ic_h384_l3_w20,inverse,15,5,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.5627751782540483,-1.9858955141941486,-0.11151909873096966,15
lstm_ic_large,inverse,10,5,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.5729486765678261,-1.99484890427081,-0.10576829977453495,15
lstm_ic_large,inverse,20,10,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.47564857084194545,-2.004642767009668,-0.08277104338656927,15
lstm_ic_large,inverse,5,5,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.6633696214928396,-2.031074925957015,-0.11712319978542496,15
lstm_ic_final_h384_l2_w20,inverse,10,2,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.6627119667824493,-2.061357319445083,-0.13478067992577747,15
lstm_ic_final_h384_l2_w20,inverse,15,5,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.5586833778301554,-2.0656394174231054,-0.10195763888817388,15
lstm_ic_final_h384_l2_w20,inverse,20,2,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.6033278260451909,-2.0849644994472185,-0.09288029879034665,15
lstm_ic_h384_l2_w20,inverse,30,5,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.5283594522967229,-2.101721663515294,-0.0947654912168635,15
lstm_ic_h256_l3_w40,inverse,20,1,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.6106143408471416,-2.1366861556986048,-0.0825020578421175,15
lstm_ic_h384_l3_w20,inverse,30,5,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.5546636249976595,-2.1524779059188335,-0.0913527276959496,15
lstm_ic_h384_l2_w20,inverse,15,10,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.5263496682192863,-2.1576657760750733,-0.08112279762454555,15
lstm_ic_large,inverse,15,5,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.5695214058491214,-2.2645039239400315,-0.09816746853302394,15
lstm_ic_h256_l3_w40,inverse,20,2,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.592403784773931,-2.2813290692311634,-0.07730184572785082,15
lstm_ic_final_h384_l2_w20,inverse,10,5,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.642939221819566,-2.320487284783249,-0.1164721766234299,15
lstm_ic_h384_l3_w20,inverse,5,3,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.799536926350547,-2.3258807971030104,-0.17368711102316758,15
lstm_ic_large,inverse,5,1,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.8404371539087147,-2.3384659755884467,-0.20279265731904927,15
lstm_ic_final_h384_l2_w20,inverse,20,5,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.5790601964362574,-2.4115070206892546,-0.09088689278412299,15
lstm_ic_h384_l3_w20,inverse,15,10,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.5573512382747574,-2.4171793586262327,-0.08893934719444208,15
lstm_ic_h256_l3_w40,inverse,15,2,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.6689617713451026,-2.4502444608869265,-0.09905944517891596,15
lstm_ic_large,inverse,15,10,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.5405979975396646,-2.463884174452558,-0.08728355803042587,15
lstm_ic_h384_l2_w20,inverse,3,1,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.8624237539309796,-2.4953420980320398,-0.20645053693372828,15
lstm_ic_large,inverse,5,3,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.793438222396637,-2.5389038480128945,-0.13626081741757567,15
lstm_ic_large,inverse,30,10,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.5871657195032262,-2.5593448280355515,-0.10034269044763333,15
lstm_ic_large,inverse,15,2,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.6723353333854332,-2.6247635752773477,-0.09373540257761392,15
lstm_ic_h384_l2_w20,inverse,15,1,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.6855675057979058,-2.625821490551397,-0.10350532246499611,15
lstm_ic_large,inverse,15,3,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.6712653166655529,-2.6401395614372505,-0.09347959593606903,15
lstm_ic_h256_l3_w40,inverse,3,3,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.9102292800305757,-2.684257581519618,-0.15687701359066142,15
lstm_ic_h384_l2_w20,forward,3,3,-0.053009816132149834,-0.029516807110983173,-7.703465158779888,0.4319368109601608,16,13.913133764617674,-61.11251907623227,-0.6429596115689191,-2.7571915428341844,-0.13042195670581946,15
lstm_ic_large,inverse,10,3,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.6991590869072645,-2.7910645924195565,-0.1058960503620745,15
lstm_ic_h384_l2_w20,inverse,10,1,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.7479253985421974,-2.83586597880416,-0.11680412464722967,15
lstm_ic_h384_l3_w20,inverse,3,1,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.8897501171904144,-2.8408597729784266,-0.21297387589640293,15
