ts_code,name,industry,score,p_rebound,pred_ret,rule_score,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio
300328.SZ,宜安科技,小金属,0.33018461146216804,0.2589054950778431,-0.005824789478813712,33.78171161032882,1.4664,-0.05365597054182025,-0.1120434353405727,-0.09779338014042138,4.0,0,1.4092446448703555,3.9481105470953146,678740.06543,0.0019757931913897096
688585.SH,上纬新材,化工原料,0.3291060883815186,0.2608935037277931,0.013875626724432212,18.867145506607528,-3.7194,-0.12223350253807108,-0.07529411764705884,-0.00649238724504464,4.0,4,-2.1502942507922174,5.56792873051225,942226.775,-0.002593324733315923
000977.SZ,浪潮信息,IT设备,0.32866590054835787,0.292262995861439,-0.00041706608527220543,25.92899533047012,-0.7582,-0.0058896466212026155,-0.07312138728323703,-0.09953671205952552,4.0,2,-3.852495877679496,5.6011140337304735,6706456.53814,0.0021043273627050158
603516.SH,淳中科技,IT设备,0.3283029740967857,0.25402364818533485,-0.0029653036369545875,30.464323393247128,-1.3749,-0.04931153184165238,-0.08626964433416051,-0.12678839617421556,4.0,2,-1.3572640414322712,4.9013480939201814,782943.454,-0.0036421404195046713
300724.SZ,捷佳伟创,专用机械,0.3278755277799311,0.25133248503817673,-0.009589530902235086,36.297941032758835,-2.5895,-0.10035473166266162,-0.11762065095398422,-0.12944302956483222,4.0,4,-2.9861796643632754,4.4480237888737495,994183.68086,-0.014609252072450058
688166.SH,博瑞医药,化学制药,0.3276773970185469,0.1901013091050341,0.0017236744547155442,28.40678614194849,-0.9461,-0.06267129545039285,-0.06980961015412512,-0.1379600067215594,4.0,3,-0.6968641114982521,5.966402780459555,570607.975,0.0021278882406086247
300053.SZ,航宇微,半导体,0.3259491782726358,0.18548249181532148,-0.009582004145496472,40.100984720522085,-6.4748,-0.07087552114353779,-0.1461412151067324,-0.1626409017713365,4.0,2,-6.530856800479334,7.074340527577946,575644.92432,-0.00785307019833464
000811.SZ,冰轮环境,工程机械,0.3251483401987375,0.2583111981892741,-0.006349220879640495,33.51611655294207,-5.3447,-0.07671800947867291,-0.09652173913043471,-0.15711195240670617,3.0,2,-5.545454545454542,7.318554509565735,1205092.58501,-0.01337634153633617
002645.SZ,华宏科技,专用机械,0.32161467346186257,0.26487563155359556,-0.0005269991416311511,26.651104126355847,-2.9861,-0.0768485631256054,-0.10572411635908663,-0.05048156758551969,3.0,2,-2.788167290037402,6.04004071937564,808330.03196,-0.008881112560661653
600259.SH,中稀有色,小金属,0.32087878835149386,0.30285754636414336,0.0010327368237874443,23.336520632520255,-2.1226,-0.02146025656396111,-0.06119162640901765,-0.09411764705882342,4.0,2,-0.5240706886045055,4.173162249670229,693504.766,-0.0036919429043981472
002850.SZ,科达利,电气设备,0.320507041619928,0.2358338909385507,-0.019034781342984797,39.56141595582056,0.069,-0.08512540091487464,-0.12032355915065729,-0.16281755196304848,4.0,0,0.09203865623561569,3.927996319300674,844995.65441,0.006672046146718352
000672.SZ,上峰水泥,水泥,0.32030655501012995,0.30460828231213294,-0.00335927323006436,27.782947053483095,-2.3474,-0.11724137931034484,-0.08117062396466035,-0.1048951048951049,4.0,4,-0.4784688995215225,6.0446009389671325,657839.8412,-0.009686825882080653
601609.SH,金田股份,铜,0.3179591382253325,0.22951558156911278,-0.0063404121927151565,34.05063051975049,-0.3239,-0.049420849420849344,-0.10276967930029157,-0.14513888888888893,3.0,2,0.4897959183673528,5.263157894736845,807336.874,-0.000940004135126373
